"_id",class,day,hour,minute,tweetden
5a0e3d9134e4b81614f091e4,L,Wed,H14,M0,0
5a0e3d9134e4b81614f091e5,M,Wed,H14,M30,0
5a0e3d9134e4b81614f091e6,M,Wed,H15,M0,0
5a0e3d9134e4b81614f091e7,M,Wed,H15,M30,0
5a0e3d9134e4b81614f091e8,L,Wed,H16,M0,0
5a0e3d9134e4b81614f091e9,H,Wed,H16,M30,0
5a0e3d9134e4b81614f091ea,M,Wed,H17,M0,0
5a0e3d9134e4b81614f091eb,M,Wed,H17,M30,0
5a0e3d9134e4b81614f091ec,L,Wed,H18,M0,0
5a0e3d9134e4b81614f091ed,L,Wed,H18,M30,0
5a0e3d9134e4b81614f091ee,M,Wed,H19,M0,0
5a0e3d9134e4b81614f091ef,M,Wed,H19,M30,0
5a0e3d9134e4b81614f091f0,H,Wed,H20,M0,0
5a0e3d9134e4b81614f091f1,M,Wed,H20,M30,0
5a0e3d9134e4b81614f091f2,L,Wed,H21,M0,0
5a0e3d9134e4b81614f091f3,M,Wed,H21,M30,0
5a0e3d9134e4b81614f091f4,M,Wed,H22,M0,0
5a0e3d9134e4b81614f091f5,M,Wed,H22,M30,0
5a0e3d9134e4b81614f091f6,M,Wed,H23,M0,0
5a0e3d9134e4b81614f091f7,M,Wed,H23,M30,0
5a0e3d9134e4b81614f091f8,H,Thu,H0,M0,0
5a0e3d9134e4b81614f091f9,L,Thu,H0,M30,0
5a0e3d9134e4b81614f091fa,M,Thu,H1,M0,0
5a0e3d9134e4b81614f091fb,H,Thu,H1,M30,0
5a0e3d9134e4b81614f091fc,M,Thu,H2,M0,0
5a0e3d9134e4b81614f091fd,H,Thu,H2,M30,0
5a0e3d9134e4b81614f091fe,L,Thu,H3,M0,0
5a0e3d9134e4b81614f091ff,M,Thu,H3,M30,0
5a0e3d9134e4b81614f09200,M,Thu,H4,M0,0
5a0e3d9134e4b81614f09201,H,Thu,H4,M30,0
5a0e3d9134e4b81614f09202,H,Thu,H5,M0,0
5a0e3d9134e4b81614f09203,M,Thu,H5,M30,16383
5a0e3d9134e4b81614f09204,H,Thu,H6,M0,0
5a0e3d9134e4b81614f09205,L,Thu,H6,M30,0
5a0e3d9134e4b81614f09206,H,Thu,H7,M0,0
5a0e3d9134e4b81614f09207,M,Thu,H7,M30,0
5a0e3d9134e4b81614f09208,M,Thu,H8,M0,0
5a0e3d9134e4b81614f09209,M,Thu,H8,M30,0
5a0e3d9134e4b81614f0920a,M,Thu,H9,M0,0
5a0e3d9134e4b81614f0920b,H,Thu,H9,M30,0
5a0e3d9134e4b81614f0920c,H,Thu,H10,M0,0
5a0e3d9134e4b81614f0920d,H,Thu,H10,M30,0
5a0e3d9134e4b81614f0920e,L,Thu,H11,M0,0
5a0e3d9134e4b81614f0920f,L,Thu,H11,M30,0
5a0e3d9134e4b81614f09210,L,Thu,H12,M0,0
5a0e3d9134e4b81614f09211,L,Thu,H12,M30,0
5a0e3d9134e4b81614f09212,M,Thu,H13,M0,0
5a0e3d9134e4b81614f09213,L,Thu,H13,M30,0
5a0e3d9134e4b81614f09214,H,Thu,H14,M0,0
5a0e3d9134e4b81614f09215,M,Thu,H14,M30,0
5a0e3d9134e4b81614f09216,L,Thu,H15,M0,0
5a0e3d9134e4b81614f09217,M,Thu,H15,M30,0
5a0e3d9134e4b81614f09218,L,Thu,H16,M0,0
5a0e3d9134e4b81614f09219,H,Thu,H16,M30,0
5a0e3d9134e4b81614f0921a,M,Thu,H17,M0,0
5a0e3d9134e4b81614f0921b,L,Thu,H17,M30,0
5a0e3d9134e4b81614f0921c,H,Thu,H18,M0,0
5a0e3d9134e4b81614f0921d,H,Thu,H18,M30,0
5a0e3d9134e4b81614f0921e,H,Thu,H19,M0,0
5a0e3d9134e4b81614f0921f,H,Thu,H19,M30,0
5a0e3d9134e4b81614f09220,M,Thu,H20,M0,0
5a0e3d9134e4b81614f09221,L,Thu,H20,M30,0
5a0e3d9134e4b81614f09222,M,Thu,H21,M0,0
5a0e3d9134e4b81614f09223,L,Thu,H21,M30,0
5a0e3d9134e4b81614f09224,M,Thu,H22,M0,0
5a0e3d9134e4b81614f09225,M,Thu,H22,M30,0
5a0e3d9134e4b81614f09226,H,Thu,H23,M0,0
5a0e3d9134e4b81614f09227,M,Thu,H23,M30,0
5a0e3d9134e4b81614f09228,M,Fri,H0,M0,0
5a0e3d9134e4b81614f09229,M,Fri,H0,M30,0
5a0e3d9134e4b81614f0922a,H,Fri,H1,M0,0
5a0e3d9134e4b81614f0922b,L,Fri,H1,M30,0
5a0e3d9134e4b81614f0922c,H,Fri,H2,M0,0
5a0e3d9134e4b81614f0922d,L,Fri,H2,M30,0
5a0e3d9134e4b81614f0922e,M,Fri,H3,M0,0
5a0e3d9134e4b81614f0922f,M,Fri,H3,M30,0
5a0e3d9134e4b81614f09230,H,Fri,H4,M0,0
5a0e3d9134e4b81614f09231,M,Fri,H4,M30,0
5a0e3d9134e4b81614f09232,M,Fri,H5,M0,0
5a0e3d9134e4b81614f09233,M,Fri,H5,M30,0
5a0e3d9134e4b81614f09234,M,Fri,H6,M0,0
5a0e3d9134e4b81614f09235,H,Fri,H6,M30,0
5a0e3d9134e4b81614f09236,H,Fri,H7,M0,0
5a0e3d9134e4b81614f09237,L,Fri,H7,M30,0
5a0e3d9134e4b81614f09238,M,Fri,H8,M0,0
5a0e3d9134e4b81614f09239,M,Fri,H8,M30,0
5a0e3d9134e4b81614f0923a,M,Fri,H9,M0,0
5a0e3d9134e4b81614f0923b,M,Fri,H9,M30,0
5a0e3d9134e4b81614f0923c,L,Fri,H10,M0,0
